repo,license,
comfyanonymous/ComfyUI,GPL-3.0,
FlowiseAI/Flowise,Apache-2.0,
jagenjo/litegraph.js,MIT,
biolab/orange3,NOASSERTION,
jerosoler/Drawflow,MIT,
chaiNNer-org/chaiNNer,GPL-3.0,
samuelmtimbo/unit,MIT,
Ironclad/rivet,MIT,
wonderworks-software/PyFlow,Apache-2.0,
ianarawjo/ChainForge,MIT,
flydelabs/flyde,NOASSERTION,
laudspeaker/laudspeaker,NOASSERTION,
google/visualblocks,Apache-2.0,
enso-org/enso,Apache-2.0,
GraphiteEditor/Graphite,Apache-2.0,
node-red/node-red,Apache-2.0,
JacquesLucke/animation_nodes,NOASSERTION,
Nelarius/imnodes,MIT,
