name,starsCount,forksCount,watchersCount,createdAt,description,githubPage,ownedByOrg,owner,language,
python-pillow/Pillow,12281,2227,220,2012-07-24,"Python Imaging Library (Fork)",https://github.com/python-pillow/Pillow,True,python-pillow,Python,
scipy/scipy,13077,5190,348,2011-03-09,"SciPy library main repository",https://github.com/scipy/scipy,True,scipy,Python,
yaml/pyyaml,2562,518,54,2011-11-03,"Canonical source repository for PyYAML",https://github.com/yaml/pyyaml,True,yaml,Python,
tqdm/tqdm,28682,1358,208,2015-06-03,":zap: A Fast, Extensible Progress Bar for Python and CLI",https://github.com/tqdm/tqdm,True,tqdm,Python,
pytorch/pytorch,83879,22613,1743,2016-08-13,"Tensors and Dynamic neural networks in Python with strong GPU acceleration",https://github.com/pytorch/pytorch,True,pytorch,Python,
pytorch/vision,16226,6952,435,2016-11-09,"Datasets, Transforms and Models specific to Computer Vision",https://github.com/pytorch/vision,True,pytorch,Python,
aio-libs/aiohttp,15129,2017,218,2013-10-01,"Asynchronous HTTP client/server framework for asyncio and Python",https://github.com/aio-libs/aiohttp,True,aio-libs,Python,
arogozhnikov/einops,8510,350,68,2018-09-22,"Flexible and powerful tensor operations for readable and reliable code (for pytorch, jax, TF and others)",https://github.com/arogozhnikov/einops,False,arogozhnikov,Python,
giampaolo/psutil,10287,1384,235,2014-05-23,"Cross-platform lib for process and system monitoring in Python",https://github.com/giampaolo/psutil,False,giampaolo,Python,
bastibe/python-soundfile,713,111,16,2013-08-27,"SoundFile is an audio library based on libsndfile, CFFI, and NumPy",https://github.com/bastibe/python-soundfile,False,bastibe,Python,
google/sentencepiece,10274,1176,127,2017-03-07,"Unsupervised text tokenizer for Neural Network-based text generation.",https://github.com/google/sentencepiece,True,google,C++,
pytorch/audio,2537,652,72,2017-05-05,"Data manipulation and transformation for audio signal processing, powered by PyTorch",https://github.com/pytorch/audio,True,pytorch,Python,
google-research/torchsde,1583,200,34,2020-07-06,"Differentiable SDE solvers with GPU support and efficient sensitivity analysis. ",https://github.com/google-research/torchsde,True,google-research,Python,
huggingface/transformers,134851,26972,1125,2018-10-29,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",https://github.com/huggingface/transformers,True,huggingface,Python,
huggingface/tokenizers,9044,799,121,2019-11-01,"💥 Fast State-of-the-Art Tokenizers optimized for Research and Production",https://github.com/huggingface/tokenizers,True,huggingface,Rust,
kornia/kornia,9957,970,127,2018-08-22,"Geometric Computer Vision Library for Spatial AI",https://github.com/kornia/kornia,True,kornia,Python,
huggingface/safetensors,2883,198,42,2022-09-22,"Simple, safe way to store and distribute tensors",https://github.com/huggingface/safetensors,True,huggingface,Python,
pytest-dev/pytest-asyncio,1421,149,38,2015-04-11,"Asyncio support for pytest",https://github.com/pytest-dev/pytest-asyncio,True,pytest-dev,Python,
aio-libs/pytest-aiohttp,134,24,12,2016-07-15,"pytest plugin for aiohttp support",https://github.com/aio-libs/pytest-aiohttp,True,aio-libs,Python,
pytest-dev/pytest,12113,2678,192,2015-06-15,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing",https://github.com/pytest-dev/pytest,True,pytest-dev,Python,
actions/github-script,4219,422,39,2019-08-29,"Write workflows scripting the GitHub API in JavaScript",https://github.com/actions/github-script,True,actions,TypeScript,
Comfy-Org/comfy-action,14,5,2,2024-03-28,"Sets up ComfyUI on MacOS/Linux/Windows and runs a workflow json.",https://github.com/Comfy-Org/comfy-action,True,Comfy-Org,Python,
actions/checkout,5927,1747,138,2019-07-19,"Action for checking out a repo",https://github.com/actions/checkout,True,actions,TypeScript,
actions/setup-python,1740,549,40,2019-06-18,"Set up your GitHub Actions workflow with a specific version of Python",https://github.com/actions/setup-python,True,actions,TypeScript,
actions/setup-python,1740,549,40,2019-06-18,"Set up your GitHub Actions workflow with a specific version of Python",https://github.com/actions/setup-python,True,actions,TypeScript,
svenstaro/upload-release-action,628,110,8,2019-08-22,"Upload files to a GitHub release",https://github.com/svenstaro/upload-release-action,False,svenstaro,TypeScript,
actions/stale,1370,364,41,2019-08-04,"Marks issues and pull requests that have not had recent interaction",https://github.com/actions/stale,True,actions,TypeScript,
actions/upload-artifact,3236,722,63,2019-06-18,None,https://github.com/actions/upload-artifact,True,actions,TypeScript,
DefinitelyTyped/DefinitelyTyped,48586,30160,643,2012-10-05,"The repository for high quality TypeScript type definitions.",https://github.com/DefinitelyTyped/DefinitelyTyped,True,DefinitelyTyped,TypeScript,
DefinitelyTyped/DefinitelyTyped,48586,30160,643,2012-10-05,"The repository for high quality TypeScript type definitions.",https://github.com/DefinitelyTyped/DefinitelyTyped,True,DefinitelyTyped,TypeScript,
DefinitelyTyped/DefinitelyTyped,48586,30160,643,2012-10-05,"The repository for high quality TypeScript type definitions.",https://github.com/DefinitelyTyped/DefinitelyTyped,True,DefinitelyTyped,TypeScript,
DefinitelyTyped/DefinitelyTyped,48586,30160,643,2012-10-05,"The repository for high quality TypeScript type definitions.",https://github.com/DefinitelyTyped/DefinitelyTyped,True,DefinitelyTyped,TypeScript,
DefinitelyTyped/DefinitelyTyped,48586,30160,643,2012-10-05,"The repository for high quality TypeScript type definitions.",https://github.com/DefinitelyTyped/DefinitelyTyped,True,DefinitelyTyped,TypeScript,
DefinitelyTyped/DefinitelyTyped,48586,30160,643,2012-10-05,"The repository for high quality TypeScript type definitions.",https://github.com/DefinitelyTyped/DefinitelyTyped,True,DefinitelyTyped,TypeScript,
DefinitelyTyped/DefinitelyTyped,48586,30160,643,2012-10-05,"The repository for high quality TypeScript type definitions.",https://github.com/DefinitelyTyped/DefinitelyTyped,True,DefinitelyTyped,TypeScript,
actions/checkout,5927,1747,138,2019-07-19,"Action for checking out a repo",https://github.com/actions/checkout,True,actions,TypeScript,
docker/setup-buildx-action,981,155,18,2020-08-18,"GitHub Action to set up Docker Buildx",https://github.com/docker/setup-buildx-action,True,docker,TypeScript,
docker/setup-qemu-action,456,61,14,2020-08-18,"GitHub Action to install QEMU static binaries",https://github.com/docker/setup-qemu-action,True,docker,TypeScript,
docker/login-action,1073,198,20,2020-08-15,"GitHub Action to login against a Docker registry",https://github.com/docker/login-action,True,docker,TypeScript,
docker/build-push-action,4384,559,37,2020-02-17,"GitHub Action to build and push Docker images with Buildx",https://github.com/docker/build-push-action,True,docker,TypeScript,
actions/setup-node,3934,1296,119,2019-05-30,"Set up your GitHub Actions workflow with a specific version of node.js",https://github.com/actions/setup-node,True,actions,TypeScript,
pnpm/action-setup,939,89,5,2020-05-08,"Install pnpm package manager",https://github.com/pnpm/action-setup,True,pnpm,TypeScript,
DefinitelyTyped/DefinitelyTyped,48586,30160,643,2012-10-05,"The repository for high quality TypeScript type definitions.",https://github.com/DefinitelyTyped/DefinitelyTyped,True,DefinitelyTyped,TypeScript,
DefinitelyTyped/DefinitelyTyped,48586,30160,643,2012-10-05,"The repository for high quality TypeScript type definitions.",https://github.com/DefinitelyTyped/DefinitelyTyped,True,DefinitelyTyped,TypeScript,
apify/apify-client-js,68,27,12,2017-05-10,"Apify API client for JavaScript / Node.js.",https://github.com/apify/apify-client-js,True,apify,JavaScript,
makenotion/notion-sdk-js,4935,587,102,2021-04-18,"Official Notion JavaScript Client",https://github.com/makenotion/notion-sdk-js,True,makenotion,TypeScript,
ewfian/faiss-node,109,11,5,2023-03-28,"Node.js bindings for faiss",https://github.com/ewfian/faiss-node,False,ewfian,C++,
DefinitelyTyped/DefinitelyTyped,48586,30160,643,2012-10-05,"The repository for high quality TypeScript type definitions.",https://github.com/DefinitelyTyped/DefinitelyTyped,True,DefinitelyTyped,TypeScript,
exa-labs/exa-js,45,11,8,2023-07-02,None,https://github.com/exa-labs/exa-js,True,exa-labs,TypeScript,
langchain-ai/langchainjs,12684,2179,85,2023-02-06,"🦜🔗 Build context-aware reasoning applications 🦜🔗",https://github.com/langchain-ai/langchainjs,True,langchain-ai,TypeScript,
langchain-ai/langchainjs,12684,2179,85,2023-02-06,"🦜🔗 Build context-aware reasoning applications 🦜🔗",https://github.com/langchain-ai/langchainjs,True,langchain-ai,TypeScript,
langchain-ai/langchainjs,12684,2179,85,2023-02-06,"🦜🔗 Build context-aware reasoning applications 🦜🔗",https://github.com/langchain-ai/langchainjs,True,langchain-ai,TypeScript,
langchain-ai/langchainjs,12684,2179,85,2023-02-06,"🦜🔗 Build context-aware reasoning applications 🦜🔗",https://github.com/langchain-ai/langchainjs,True,langchain-ai,TypeScript,
langchain-ai/langchainjs,12684,2179,85,2023-02-06,"🦜🔗 Build context-aware reasoning applications 🦜🔗",https://github.com/langchain-ai/langchainjs,True,langchain-ai,TypeScript,
langchain-ai/langchainjs,12684,2179,85,2023-02-06,"🦜🔗 Build context-aware reasoning applications 🦜🔗",https://github.com/langchain-ai/langchainjs,True,langchain-ai,TypeScript,
langchain-ai/langgraphjs,646,101,14,2024-01-09,"Build resilient language agents as graphs.",https://github.com/langchain-ai/langgraphjs,True,langchain-ai,TypeScript,
langchain-ai/langchainjs,12684,2179,85,2023-02-06,"🦜🔗 Build context-aware reasoning applications 🦜🔗",https://github.com/langchain-ai/langchainjs,True,langchain-ai,TypeScript,
langchain-ai/langchainjs,12684,2179,85,2023-02-06,"🦜🔗 Build context-aware reasoning applications 🦜🔗",https://github.com/langchain-ai/langchainjs,True,langchain-ai,TypeScript,
actions/checkout,5927,1747,138,2019-07-19,"Action for checking out a repo",https://github.com/actions/checkout,True,actions,TypeScript,
peter-evans/repository-dispatch,962,132,11,2019-11-08,"A GitHub action to create a repository dispatch event",https://github.com/peter-evans/repository-dispatch,False,peter-evans,TypeScript,
docker/setup-buildx-action,981,155,18,2020-08-18,"GitHub Action to set up Docker Buildx",https://github.com/docker/setup-buildx-action,True,docker,TypeScript,
docker/setup-qemu-action,456,61,14,2020-08-18,"GitHub Action to install QEMU static binaries",https://github.com/docker/setup-qemu-action,True,docker,TypeScript,
docker/login-action,1073,198,20,2020-08-15,"GitHub Action to login against a Docker registry",https://github.com/docker/login-action,True,docker,TypeScript,
