,repo_name,topics
0,gooofy/zamia-prolog,"['prolog', 'prolog-dialect', 'python', 'logic-programming', 'declarative-language', 'embeddable']"
1,knowrob/knowrob,"['knowledge-base', 'knowledge-graph', 'prolog', 'query-answering', 'reasoning', 'robotics']"
2,MaximovInk/NodeLogic,"['logic-gates', 'logic-programming', 'unity', 'unity2d', 'unity2d-game']"
3,isquicha/exercicios-logica,"['programming', 'logic', 'python', 'c', 'cpp', 'lua']"
4,hendrycks/math,"['math', 'reasoning', 'logic']"
5,bnidia/Philosophers,"['algorithms', 'c', 'logic', 'rigor', 'unix']"
6,fallen/SucreLA,"['analyzer', 'ecp5', 'fpga', 'litex', 'logic', 'migen', 'risc-v', 'hydrausb3']"
7,marcincuber/modal_logic,"['modal', 'logic', 'logic-programming', 'complexity', 'graph-theory', 'graph-algorithms', 'complexity-theory', 'modal-logic', 'temporal-logic']"
8,HussainAther/awesome-philosophy,"['awesome-list', 'philosophy', 'ethics', 'aesthetics', 'logic', 'epistemology', 'history-of-philosophy', 'philosophy-of-science', 'philosophy-of-mind']"
9,Galigator/openllet,"['owl', 'logic', 'reasoner', 'semantic', 'owl-api', 'jena', 'java', 'owl2', 'inference']"
10,jakobjpeters/PAndQ.jl,"['julia', 'logic', 'symbolic', 'julialang', 'propositional-logic']"
11,whitemech/flloat,"['logic', 'linear-temporal-logic', 'propositional-logic', 'automata', 'ltlf', 'ldlf']"
12,alexanderskulikov/discrete-math-python-scripts,"['python', 'mathematics', 'discrete-mathematics', 'combinatorics', 'recursion', 'induction', 'algorithms', 'bayes', 'logic', 'probability', 'python3', 'dynamic-programming', 'combinatorics-and-probability', 'cryptography', 'number-theory', 'enumeration', 'graph-algorithms', 'graphs']"
13,utahnlp/structured_tuning_srl,"['semantic-role-labeling', 'srl', 'logic', 'loss-functions', 'structured', 'regularization', 'roberta', 'pytorch', 'finetuning']"
14,minetest-mods/mesecons,"['minetest', 'redstone', 'wires', 'logic', 'minetest-mod']"
15,go-air/gini,"['sat-solver', 'concurrent', 'logic-programming', 'logic-circuit', 'resolution', 'boolean-formulas', 'artificial-intelligence', 'verification', 'testing', 'fuzzing', 'dependencies', 'circuit-sat']"
