,repo_name,topics
0,KieranCoppins/Decision-Tree-Package,"['ai', 'decision-tree', 'package', 'unity-package', 'unity3d', 'unity', 'graph-editor', 'unity-editor', 'visual-editor', 'unity-plugin']"
1,PWCT/PWCT2,"['visual-programming-language', '2d-game-development', 'gui-development', 'interactive-visualizations', 'linux', 'macos', 'ring-programming-language', 'windows']"
2,rovercode/rovercode-web,"['education', 'blockly', 'django', 'python']"
3,FlowzPlatform/workflow,"['vuejs', 'feathersjs', 'jobqueue', 'bpmn', 'rethinkdb', 'mongodb', 'nedb', 'mysql', 'flow-based-programming']"
4,fractalide/fractalide,"['flow-based-programming', 'nix', 'rust', 'racket']"
5,codeddraig/ffau,"['blockly', 'javascript', 'drag-and-drop', 'codedragon', 'education']"
6,rjamesnw/FlowScript,"['visual-programming-language', 'vpl', 'typescript', 'language', 'wip', 'ide', 'netcore', 'dotnet', 'netstandard']"
7,WPFDevelopersOrg/XNode,"['blueprint', 'node-editor', 'wpf', 'animation']"
8,flowbase/flowbase,"['fbp', 'flow-based-programming', 'dataflow', 'fbp-frameworks', 'micro-framework', 'golang']"
9,d3cod3/ofxVisualProgramming,"['mosaic', 'ofxvisualprogramming', 'openframeworks', 'openframeworks-addon', 'linux', 'macos', 'windows', 'creative-coding', 'live-coding', 'cyber-coding', 'physical-computing', 'visual-computing', 'scripting', 'programming', 'visual-programming', 'cyber-programming']"
10,jpaulm/drawfbp,"['flow-based-programming', 'fbp', 'visual-programming', 'language-agnostic', 'stepwise-refinement']"
11,Ju99ernaut/grapesjs-blockly,"['grapesjs-plugin', 'blockly']"
12,whitecatboard/whitecat-ide,"['esp32', 'blockly', 'lua-rtos', 'programming-language']"
13,SimpleStateMachine/SimpleStateMachineNodeEditor,"['state', 'statemachine', 'state-machine', 'finite-state-machine', 'simple-state-machine', 'node-editor', 'wpf', 'reactiveui', 'csharp', 'net-core-3-1', 'net-core', 'nodeeditor', 'visualization', 'simplestatemachine', 'scheme']"
14,CoderBotOrg/frontend,"['blockly', 'vue', 'vuejs2', 'scratch', 'vuetify-frontend', 'restful', 'vuetify', 'blockly-vue', 'blockly-vuejs', 'vuex', 'vuex-store', 'vuex3', 'vuejs']"
15,bromagosa/Snap4Arduino,"['snap4arduino', 'blocks', 'arduino', 'dynamic-programming', 'live-programming', 'visual-programming-language', 'visual-programming', 'snap', 'scratch', 'education']"
16,xyflow/react-flow-example-apps,"['reactflow', 'graph-editor', 'node-based-ui', 'workflow-engine', 'starterkit']"
17,trodi/blockly-d.ts,"['typescript', 'blockly', 'typescript-definitions', 'types']"
18,ndahn/Rocksi,"['robot', 'robotics', 'simulation', 'kinematics', 'blockly', 'programming', 'education']"
19,krish-adi/barfi,"['framework', 'flow-based-programming', 'graphical-programming', 'ml', 'jupyter-notebook', 'jupyter', 'streamlit', 'ai-ml', 'dataflow-programming', 'no-code', 'no-code-framework']"
20,ayushk7/CodeWire,"['compiler', 'javascript', 'node-editor', 'visual-programming']"
21,aengl/cocoon-demo,"['cocoon', 'node-js', 'reactjs', 'workflow-automation', 'visual-analytics', 'data-mining', 'flow-based-modeling', 'flow-based-programming', 'data-science', 'data-visualization', 'interactive-visualisations', 'brushing', 'dataflow']"
22,gllms/Flue,"['flowchart', 'visual-programming-language', 'visual-programming', 'flowchart-designer', 'flow-based-programming', 'executable-flowcharts', 'javascript', 'flue']"
23,Blackprint/Blackprint,"['html5', 'blackprint', 'visual-programming', 'blueprint', 'flow-based-programming', 'javascript']"
24,egold555/ForgeScratch,"['minecraft', 'forge', 'minecraft-forge', 'scratch', 'language', 'programming-language', 'blockly', 'learning', 'education']"
25,chekoduadarsh/BlocklyML,"['blockly', 'blockly-games', 'python', 'javascript', 'machine-learning', 'deep-learning', 'pycaret', 'tensorflow', 'scikit-learn', 'sklearn', 'hacktoberfest']"
26,p-ranav/box,"['visual-programming-language', 'box', 'python3', 'unreal-engine', 'flow-based-programming', 'blueprints', 'blueprints-visual-scripting', 'node-graph', 'functions', 'function-graphs', 'drawing', 'transpiler', 'esoteric-language', 'esoteric-programming-language']"
27,mo4islona/node-blockly,"['blockly', 'nodejs', 'commonjs', 'browser']"
28,lloydzhou/antv-x6-vue,"['antv', 'x6', 'vue', 'graph', 'antv-x6', 'diagram', 'graph-editor']"
